Name,Address,Category,Favorite
Hangari Kalguksu,"3470 W 6th St, Los Angeles, CA 90020",Food,X
Sun Nong Dan,"710 S Western Ave, Los Angeles, CA 90005",Food,
Brother's Cousins,"3118 S Sepulveda Blvd, Los Angeles, CA 90034",Food,
Pine and Crane,"1521 Griffith Park Blvd, Los Angeles, CA 90026",Food,
Fat Sal's ,"972 Gayley Ave, Los Angeles, CA 90024",Food,
NBC Seafood,"404 S Atlantic Blvd, Monterey Park, CA 91754",Food,
Lunasia,"239 E Colorado Blvd, Pasadena, CA 91101",Food,
Banh Mi My Tho,"304 W Valley Blvd, Alhambra, CA 91801",Food,X
626 Ice cream,"160 E Duarte Rd, Arcadia, CA 91006",Food,X
Top Restaurant,"1842 E Colorado Blvd, Pasadena, CA 91107",Food,
Howlin' Rays,"800 S Arroyo Pkwy, Pasadena, CA 91105",Food,
Community Goods,"710 N Edinburgh Ave, Los Angeles, CA 90046",Food,X
Porto's,"584 S Sunset Ave, West Covina, CA 91790",Food,X
Bacari Silverlake,"3626 Sunset Blvd, Los Angeles, CA 90026",Food,
Lock & Key,"239 S Vermont Ave, Los Angeles, CA 90004",Nightlife,
The Huntington Library,"1151 Oxford Rd, San Marino, CA 91108",Activities,X
Venice Canals,"2401 Eastern Ct, Venice, CA 90291",Activities,X
Sunday's Best ,"1557 W Sunset Blvd, Los Angeles, CA 90026",Activities,
Crossroads Trading,"1316 Echo Park Ave, Los Angeles, CA 90026",Activities,X
UCLA Planetarium,"405 Hilgard Ave, Los Angeles, CA 90095",Activities,